,title,author,description,play,favorites,mid,review,created_at,video_review,coins,duration,aid,bvid,pts,trend,vt,enable_vt,vt_display
0,30天 EXCEL入门到精通（完结）,职场小扳手,42天 EXCEL入门到精通（完结）,435654,32913,1910955336,146,2022-05-18 11:57,799,1119,37603,684173670,BV1KU4y1U7cA,8756,0,0,0,
1,【100集】100个英文面试问题和技巧——英语听力口语单词语法,修修捏英文人文科普,"www.yotube.com
【100集】100个英文面试问题和技巧——英语听力口语单词语法",49521,5093,68829427,17,2023-01-18 00:03,13,295,88369,862937283,BV1kG4y1C78E,4399,0,0,0,
2,如何将多个excel表格合并汇总为一个excel表格,办公必杀技,如何将多个excel表格合并汇总为一个excel表格,172369,4019,601987715,179,2022-12-01 18:15,31,600,184,945655607,BV1jW4y1p7gr,3541,0,0,0,
3,一分钟教你快速学会换证件照背景颜色，红橙黄绿青蓝紫，你想要的颜色都有,采花方丈,"一分钟学会换照片背景色，无论是职场和日常生活中，证件照的用处都非常多，有时不同场合需要使用不同底色的照片，教你一个简单方法，秒换证件照背景
（ps：素材来自网络，如有侵权，请联系删除）",299681,6416,477030518,146,2021-05-31 21:02,49,1481,91,758257577,BV1T64y1o7F5,3502,0,0,0,
4,有什么办法可以快速将多个数据表，直接汇总到一个表格中呢,WPS表格技巧,,100910,3715,607556421,37,2022-08-28 00:05,0,169,75,217394516,BV1aa411G7ga,2929,0,0,0,
5,苏考判推所有特色题，都在，一个视频全搞定（安逸）,公考雷佳音,-,32866,2925,1933898986,37,2022-12-11 11:48,240,530,9622,518689987,BV1bg411n7KG,2124,0,0,0,
6,NBA巨星-史蒂芬.库里 教篮球（中英字幕）,萌新满级,"网咯
NBA巨星-史蒂芬.库里 教篮球（中英字幕）",79640,5438,442674993,48,2022-10-07 17:44,234,767,13244,388844542,BV1Md4y1i7xi,2119,0,0,0,
7,「资料分析」【年均增长率速算】全网最全最新的技巧（72，115法则/二项式+修正/编数法+拓展/代入法/两个补充好用公式），一个视频稳稳拿下年均增长率计算,公考苏金朋,B站持续更新公考干货，CCtalk同名号也有行测刷题课/系统课/速算课等,69282,6966,385154136,144,2022-09-26 09:00,522,2573,2243,900984257,BV1SN4y1K7zh,1963,0,0,0,
8,PPT创意抽屉式教程，你必须掌握的技能！,桃子PPT,-,462239,32116,627266587,276,2020-11-08 00:48,162,2675,387,670156031,BV1sa4y1s7AK,1785,0,0,0,
9,【酒店冷知识】业内人士手把手教你如何订酒店最便宜！这钱省下来它不香吗？,周末三缺一,OTA呆了三年，教你怎么样订酒店最便宜！,122636,1002,503024199,67,2020-07-25 20:32,90,432,343,841496338,BV1B54y1v7MR,1638,0,0,0,
