,title,author,description,play,favorites,mid,review,created_at,video_review,coins,duration,aid,bvid,pts,trend,vt,enable_vt,vt_display
0,写bug的程序员被辞退，产品经理：换个人裁！,PM圈子-崔经理,,754262,486,496076562,538,2022-11-08 09:34,76,198,40,944926677,BV1xW4y14731,23394,0,0,0,
1,半月谈讲申论,半月谈公考,本系列课程共60节，学习完整课程请联系文文老师19954210331（微信同号）。,2358535,87053,543235237,4242,2021-01-22 11:26,12335,20305,17383,501285561,BV1rN411d7MQ,17731,0,0,0,
2,在论文中，你知道引用参考文献的标注是如何设置的吗，简单又易学,WPS表格技巧,,558239,18192,607556421,206,2022-05-08 15:36,20,2986,72,726412081,BV1VS4y1b72q,17078,0,0,0,
3,公务员（人民警察）体能测评-纵跳摸高,贵州华图,公务员（人民警察）体能测评-纵跳摸高,204616,527,557693147,523,2020-09-22 19:05,41,34,50,457240078,BV1M5411j7YH,15005,0,0,0,
4,《关于同事躲起来办公这件事》#内容过于真实 #一定要看到最后 #沙雕,李什么闯啊,,418387,689,1699496602,63,2022-08-15 15:10,108,952,98,602024522,BV1jB4y1L7WJ,14004,0,0,0,
5,为什么感觉不到 身边人在失业？,offer锦鲤魏校长,,750591,1397,1715594148,660,2022-12-01 00:07,371,127,116,263191529,BV1yY411d73Z,12824,0,0,0,
6,【新手教程】SU草图大师零基础，从CAD到SU，墙体，门洞，窗户的10分钟快速制作,一个不太完美的设计师,"一键三连，评论区留言，有需要Su的私聊我发你，任何版本都可以
此SU教程根据室内设计内容定制.
课程概述：
1.CAD的墙体
2.墙体拉伸
3.窗户制作
4.门洞制作",651337,28350,429525778,765,2022-01-08 15:53,874,6261,1184,723018596,BV1HS4y1Z7oR,10994,0,0,0,
7,手把手教你vlookup两个表格间对应数据的匹配！,Excel卓哥说,每天1分钟，学会Excel很轻松噢!,462417,9355,636426354,201,2021-01-20 16:30,25,1964,59,416139909,BV1sV411t74E,10681,0,0,0,
8,年底千万别找工作！,offer锦鲤魏校长,,150096,928,1715594148,526,2022-12-28 21:38,72,62,55,521988229,BV1wM411y77P,8569,0,0,0,
9,【合集30集全】商务英语口语 笔记版《Speak Business English Like an American》，外企上班族必备职场口语常用习语俚语,汤圆学英语,"本书作者Amy Gillett教授毕业于斯坦福大学，专门从事英语教学工作。
自制学习视频，对话播三遍，第一遍带自制笔记，第二遍无笔记，第三遍无文本。
仅播一遍的笔记合集：BV1fP411K7jc
其他习语俚语合集：
《Speak English Around Town》： BV1LP41137Su
《 Speak English Like an American》50集合集：  BV1gd4y1N7xS
《Easy American Idioms》: BV1R24y1W7Xx

*****
书名：《Spe",243413,27403,516902904,972,2022-05-03 21:54,975,3447,8339,638746519,BV1QY4y1k7oK,8382,0,0,0,
