,title,author,description,play,favorites,mid,review,created_at,video_review,coins,duration,aid,bvid,pts,trend,vt,enable_vt,vt_display
0,销售课程【销售心理学与营销管理丨MBA必修】-获取资料请看评论区,建工书院,资料收集不易，【评论+关注+一建三连】，你们的支持是我最大的动力。低调观看学习！请勿相信教程中广告，防止上当受骗。,29274,2102,386969022,63,2022-09-02 20:16,121,462,13830,302628368,BV1bP411V7Ko,1805,0,0,0,
1,为什么你必须学会销售？| 让普通人月入5万的赚钱教学,统一的奸商之路,"视频较长，这里发个目录：
【第一章】销售是什么？  1:49开始
【第二章】FABG销售模型 6:00开始
【第三章】AIDA销售过程 14:39开始
【第四章】ABC  25:31开始
【第五章】成为销售leader 38:05开始
【第六章】立个中目标--50万  43:24开始
还是推荐大家找一个大块时间，一口气看完。",693764,45937,8420618,1472,2020-06-06 19:42,10247,37887,3216,243380694,BV1dv411z7cy,1692,0,0,0,
2,【公开课】高阶销售课程“痕迹识人·读懂人心”,一书一课,完整版移步https://zhishi.m.iqiyi.com/column?columnId=252961801&selfsale=c0168730b7959a24，B站粉丝购买私我有专属笔记哦！！,37150,2504,649109545,18,2020-11-02 15:29,65,228,2138,927661762,BV1rT4y1F7sf,1474,0,0,0,
3,《打工人剥削老板指南》| 职场人必看，50分钟超硬核输出！,统一的奸商之路,"1年前的5月20日，我发布了第一个B站讲赚钱的视频。
BV17p4y1Q7E2《 后浪一代，如何赚钱？| 一个前浪CEO的1.4万字独白》
1周年纪念，整点硬货。
既然看到这里了，顺手点个赞吧~",302630,13001,8420618,599,2021-05-20 19:53,4081,26952,2999,418186149,BV1vV411j7QE,1381,0,0,0,
4,销售技巧【30天把想卖的东西卖给任何人】-获取资料请看评论区,建工书院,资料收集不易，【评论+关注+一建三连】，你们的支持是我最大的动力。低调观看学习！请勿相信教程中广告，防止上当受骗。,77538,5230,386969022,207,2022-09-02 20:35,402,1058,113160,345153538,BV1dd4y1G7zN,1287,0,0,0,
5,【网络营销】小红书运营教程,酹秋秋秋秋秋,"视频教程收集自网络，侵删谢谢！
谢谢大家支持！感谢大家关注！希望能对大家的学习有所帮助！",238173,12966,43175982,159,2020-10-12 15:32,380,487,8937,927398009,BV1wT4y1w7a9,1130,0,0,0,
6,中公，华图，粉笔，哪家好一些？,公考夏蕾,-,224678,1422,1320792805,573,2020-12-26 13:53,149,107,339,885826509,BV11K4y1V7as,1053,0,0,0,
7,市场调查2：做数据研究不得不知道的23个数据分析网站,怪木西西坐地铁去上班,要网页书签的留言,157554,21248,88225156,171,2020-04-01 09:57,111,3512,594,200058093,BV15z411b7mE,1008,0,0,0,
8,95后小伙实现月入60万，他的赚钱思维你没听过,商业洞察力,95后小伙实现月入60万，他的赚钱思维你没听过,30795,842,473492125,37,2021-10-29 00:40,24,26,143,336357860,BV1iR4y177Hf,854,0,0,0,
9,市场营销岗位分享｜所需职业技能｜我为什么做营销,Organic-Lily,"哈喽，大家好，我是栗栗，一个入行两年的营销人。
?
在过去的几年里，我在中国和英国，甲方乙方都有marketing相关的实习工作经验。比如在传统新闻机构报社，做过记者，在4a广告公司，pr agency，做过乙方；做过甲方市场部，做社媒运营，从0个粉丝开始写公号，在非盈利机构联合国儿童基金会做BD，还有给欧洲创业公司做过市场咨询……在尝试了这些不同的角色后，在mkting世界中拼了一块块的拼图。
?
Mkting是art和science的结合，人文和科技的结合，本质是通过给消费者创造实用价值的过程来给企业",25297,2054,21435309,89,2022-05-01 16:53,23,815,577,341198621,BV1UR4y1P7Mg,847,0,0,0,
