,title,author,description,play,favorites,mid,review,created_at,video_review,coins,duration,aid,bvid,pts,trend,vt,enable_vt,vt_display
0,科比退役演讲 What can I say？Mamba Out！,精英们的故事,互联网,213092,1302,2008834382,376,2022-02-14 05:13,126,156,172,593987831,BV1Wq4y187xh,73919,0,0,0,
1,一万一页的PPT是什么样的,造飞船的董拾柒,,386341,2779,327909972,125,2021-11-01 13:17,12,110,19,718899855,BV1WQ4y1S7Fs,18391,0,0,0,
2,年底千万别找工作！,offer锦鲤魏校长,,150096,928,1715594148,526,2022-12-28 21:38,72,62,55,521988229,BV1wM411y77P,8569,0,0,0,
3,不要盲目转行数据分析，先看看适不适合！这几类人不建议转| 年龄大、大专学历能转行数据分析吗？,数据分析黄yellow,最近很多小伙伴都来咨询数据分析转行，我整理了一些共性的问题，给处在迷茫期的小伙伴一些建议。花几分钟时间把这个视频看完，你将对数据分析领域有一个全新的认知，然后再做决定也不迟！,146852,4050,645446190,545,2022-06-09 17:09,442,507,864,257348098,BV1rY411M7Ho,5879,0,0,0,
4,小学数学面试｜高分试讲:分数的初步认识,乐水老师,-,237240,6429,402965706,266,2021-11-15 19:24,712,1048,634,294225535,BV14F411h7DQ,4971,0,0,0,
5,军队文职面试-结构化、武装部岗位、临床岗、护理岗、工程师岗、参谋岗、会计岗、律师岗位等真题讲解合集,公考社区,军队文职面试-四机构的结构化面试，会计岗、高教岗，中教岗、武装部参谋岗，武装部干事岗，临床岗，护理岗，工程岗（土木工程建设项目）、工程岗（计算机）、编辑岗（新闻编辑）、工程岗（软件开发）、工程岗（军事代表、装备类）、医疗技术岗 高校参谋岗、工程岗（综合管理保障）、翻译岗、医学影像、出版岗、机械自动化、档案岗、通信工程、图书岗、工程岗物资油料、审计岗、经济岗、心里岗、试验岗、科学研究岗、鉴定员岗、侦查员岗、法制员岗、律师岗、书记员岗、法官竹里馆、中医岗、药剂岗、干休所干事岗、执法员、采购岗,64469,2998,357634811,65,2021-07-12 23:37,503,440,85167,419162917,BV1KV411s73s,4204,0,0,0,
6,医生转行能做什么？迷茫的人生如何规划？如何维持“塑料友情”？,大物是也,,720333,5297,208130286,1461,2022-03-02 18:05,3947,18570,1118,979447958,BV1A44y1M7oy,3996,0,0,0,
7,面试自我介绍：面试官让你自我介绍时，到底想听到什么？（含案例详解）【鹅姐|求职】,鹅姐职场,"面试官为什么要让你自我介绍？
自我介绍，有哪些常见雷区，哪些注意事项？
怎样让自己的自我介绍脱颖而出？
答案都在这个视频里了！",757660,24197,109606796,426,2021-07-18 23:05,892,8911,592,804333506,BV1jy4y1j7N6,3430,0,0,0,
8,天赋与职业规划,玛雅二姐,-,6187,30,561561206,6,2021-04-14 13:20,0,1,349,845023189,BV1h54y1b72P,2996,0,0,0,
9,“要是早几年看到这个视频就好了。”【大学生职业规划思路】,一万也,"关于就业的干货放送

活着活着来到了一个奇怪的阶段
可能因为从事着理想职业
也做出了一点成绩
所以身边不少年龄相仿的朋友
会问我职业规划的思路

加上最近收到若干问相关问题的私信
于是有了这期视频

虽然我的多数经历都在做设计
但实际跨越的行业、领域还是不少的
所以文案修改了几番
尽我所能地希望对不同境况下的“你”
有所帮助～

*关于结尾的日记，up主自知写字不好看，希望大家给点面子不要笑她⋆ᶿ̵᷄ ˒̼ ᶿ̵᷅⋆",419964,27583,289368676,748,2022-03-24 19:05,585,10219,417,895022382,BV1xP4y1T7Gc,2830,0,0,0,
