,title,author,description,play,favorites,mid,review,created_at,video_review,coins,duration,aid,bvid,pts,trend,vt,enable_vt,vt_display
0,vlookup函数使用方法详解,excel软件教学,-,690026,23875,619963920,426,2022-02-14 16:21,200,7547,288,809011041,BV1M34y1C7HZ,37645,0,0,0,
1,3句话，让你从社交恐惧→社交牛逼 | 奸商套路分享,统一的奸商之路,,5277617,385094,8420618,11322,2021-09-19 20:52,61921,354152,2061,208077851,BV1mh411p79S,19755,0,0,0,
2,电子厂的四大误区,万隆人力小强,-,2808834,13580,1434437122,3439,2022-05-04 19:57,1618,707,123,853806746,BV1W54y1f7h7,7797,0,0,0,
3,【美甲教程】保姆级教学手把手教你学会美甲！,文青微课,"网络
一键三连，感谢支持！",166369,13896,449222430,106,2021-10-04 16:06,252,734,17077,720996899,BV1BQ4y1B7B4,7691,0,0,0,
4,五个让你不怕失业的搞钱技能 | 副业兼职攻略,姜Dora在此,-,505419,26591,16385920,881,2022-03-26 18:57,898,5718,593,767607970,BV1Hr4y1W7fi,7555,0,0,0,
5,10年前起点相同，10年后财富差100倍，因为这10个选择｜富养给人富人思维，穷养给人穷人思维,全嘻嘻,跟刘楠聊天一共两集，本集为第1集，内容包括：1.认识刘楠；2.富养穷养；3.不后悔读研；4.第一份工作；5.辞职；6.全职妈妈；7.开淘宝店；8.创业；9.对人生选择的一点总结。第2集将于下周五更新，内容主要为创业中的狼狈和艰难，关注我，到时见。,984468,17711,25637408,1253,2022-12-23 18:00,2850,12436,1316,349198793,BV1bR4y1S745,5766,0,0,0,
6,《素书》纯净版，一个废字都不要，最方便看读听背收藏，悟者，可也,百传U,文若不适处，请持批评审慎之。,253867,14659,586563001,146,2021-12-19 20:25,158,1539,637,934960351,BV1vM4y1c7D4,5694,0,0,0,
7,做电商无货源一件代发，被罚了3w,飞翔网络创业Vlog,做电商无货源一件代发，被罚了3w！,401804,1553,491080093,567,2022-11-28 22:17,14,67,33,220648926,BV1N8411j7Px,5635,0,0,0,
8,高端科技PPT模版,大神PPT课堂,,43020,1638,410947411,2368,2022-06-10 22:46,71,1728,326,854907555,BV1XL4y1P7q9,4308,0,0,0,
9,优秀员工离职4大征兆,管理顾问徐汉韬,-,474784,978,1258963585,327,2021-12-20 22:19,162,74,43,379989257,BV1LZ4y1X7vC,3605,0,0,0,
