,title,author,description,play,favorites,mid,review,created_at,video_review,coins,duration,aid,bvid,pts,trend,vt,enable_vt,vt_display
0,王佩丰Excel基础教程24讲完整版-带完整练习资料和答疑服务,云开见明教育科技,"视频完整版带全网唯一完整练习资料（某些数据是一个一个敲出来的，三连支持啊！！！），学完后可以掌握办公软件Excel表格技能！

需要进交流群的加微信 cxttcm2009",2421618,184728,456178842,2788,2019-12-23 13:24,94290,27979,107892,80336507,BV1yJ411s7wS,49148,0,0,0,
1,【2024教资笔试】 | 小学科二教育知识与能力合集【小学】【共39集，完结】,CocoPolaris,"2024教资笔试备考继续适用 【最新23下半年考试并未出现新考点，考试大纲未变】
制作视频不易，考试讲解视频更不易，点赞投币收藏一键三连以表支持，科目二教育知识与能力【小学各科通用】
UP的初衷是授人以鱼不如授人以渔，希望备考教资的小伙伴跟着UP视频一起自学，一起看书，一起通过教资考试
P.s. 综合素质学习视频【中小学通用】】戳→BV1Ga4y1i77D
科目二教育知识与能力学习视频【方法通用】戳→ BV1sk4y1q7pM",7823029,285214,449144107,8532,2021-01-17 20:07,207902,92305,129352,416234876,BV1AV411b7Sy,35246,0,0,0,
2,当一位大佬程序员写了一段很烂的代码但是刚好能用时......,爱代码的喵酱,,4437866,19001,589102210,709,2022-05-01 18:35,257,761,11,641207993,BV12Y4y1t7Qv,24356,0,0,0,
3,行政执法申论——公考小马哥,刘文超Vin,行政执法类申论,2293983,76435,300722822,1760,2022-11-24 17:05,48774,24626,104504,732996403,BV1YD4y1e7z9,22836,0,0,0,
4,学12分钟就能做出PPT【ppt简易制作教程】干货全拿走，开店就赚钱,呆伯特PPT,"一集就上手PPT的简易制作教程。有什么建议可评论告诉我哦。所用软件是微软office powerpoint，只要是2016以上的版本或office365都可以。
打开方式：桌面找到Powerpoint图标双击打开，双击“空白演示文稿”即可进入到编辑界面。",1138388,39922,332911876,418,2021-07-08 21:51,2305,13075,724,291584001,BV1mf4y1L7EK,21830,0,0,0,
5,一个视频，学完资料分析所有题型,公考齐麟,总复习来咯,1128724,99942,107463913,922,2021-03-25 20:17,7068,25536,2961,289815445,BV1af4y1x74d,18948,0,0,0,
6,一万一页的PPT是什么样的,造飞船的董拾柒,,386341,2779,327909972,125,2021-11-01 13:17,12,110,19,718899855,BV1WQ4y1S7Fs,18391,0,0,0,
7,别找了，VLOOKUP函数最全18种用法都在这里了,晒书包Excel,"想要更好的学习，系统化学习的同学可以点击链接报名哈：
https://www.bilibili.com/cheese/play/ss4799

课件下载方式：公众号【晒书包Excel】后台回复关键词：VLOOKUP",913464,100652,652624650,762,2021-05-22 11:43,2010,18448,2504,503211690,BV1EN411Z7UX,17941,0,0,0,
8,在论文中，你知道引用参考文献的标注是如何设置的吗，简单又易学,WPS表格技巧,,558239,18192,607556421,206,2022-05-08 15:36,20,2986,72,726412081,BV1VS4y1b72q,17078,0,0,0,
9,我国养老“双轨制”过渡期将在2024年9月结束,公考干货君,-,511594,2115,473654149,836,2023-01-27 18:01,38,254,92,393433102,BV1yd4y1W7k6,16261,0,0,0,
