,title,view,favorite,coin,share,like
82,本科毕业做销售？别白费了自己辛苦读的四年本科，考编是我们普通本科最好的出路,30562,162,11,30,194
83,【游戏行业100人】游戏行业的高峰时代已经过去了？（第十三集续）,46587,678,141,135,661
84,选错offer后悔3年！来自12年HR总监的offer选择建议,5630,227,127,41,274
85,低学历小伙上台求职，竟能让各大企业纷纷抛出橄榄枝，#高情商#,75705,1233,136,42,10003
86,与其关心自己能不能进面，不如现在开始准备面试,2880,22,22,6,107
87,【律所真实面试经验分享】,4591,170,25,7,112
88,雅马哈在线培训-Dante帮您做到更多——DM3数字调音台Dante版本详解,374,22,4,1,8
89,【产品项目类问题】项目从0到1 搭建过程，你觉得最难的功能模块是什么？回答思路+话术|产品经理面试技巧,145,2,0,0,5
90,99%的好工作都不在招聘网站，这3个渠道简直太香了!!,964,28,0,1,15
91,招聘市场目前我认为是最乱套的市场！根本没有规范！,1799,19,10,3,153
92,还在自杀型面试？2023年5个让你脱颖而出的面试秘诀,40057,4089,1139,359,2137
93,长点心吧，别让你到手的 Offer 飞了！,505,49,1,5,37
94,揭秘在澳洲｜普通人无PR金融求职有多难！？,2971,17,12,7,65
95,职场新人面试一定要避的坑！,321416,5601,224,171,18177
96,参加24校招前，必须要知道的5件事！,41011,1757,391,153,2064
97,在麦肯锡两次被内部举报，我差点丢掉工作 | McKinsey | 华人 | 北美求职 | 咨询行业 | 同胞,28241,325,25,61,356
98,【职位科普】外企Support技术支持 宝藏岗位,26320,601,140,115,583
99,当你往公司账上打了1分钱，财务：？？？,45602,33,26,12,1757
100,上船的第20天，进了个大公司，生活条件就是好，但是要求高,90912,73,39,8,753
101,二本文科生在南京找工作，一天面试三个无门槛岗位，依旧没有公司要我｜电话销售｜影楼小红书运营｜预制菜服务员,583,9,4,1,19
102,找不到工作，一辈子会毁了吗？,280280,5938,4080,1567,11657
103,聪明人找工作会选岗位！3个不限专业高薪岗位,152,1,0,0,4
104,24年的就业形势到底有多差？考研党该怎么办？,30469,272,59,44,377
105,自学能力才是报班要学的能力,1307,37,14,9,57
106,最全的B端竞品库一网打尽～,2575,624,139,44,170
107,［枢机］就业难，收入低，房子贵，赢的本源逻辑究竟是什么,129,1,0,0,1
108,计算机普本应届生面试6家公司，拿到5个offer，都因为简历上有它......,207,1,0,1,3
109,保底offer要不要签三方？一个校招跑路的选手回答是……,2849,11,6,3,59
110,大四学姐找实习歪门邪道大放送！不看后悔！,19502,2763,439,127,1829
111,裸辞半年！做的十个神仙副业！人生变成了旷野！,107393,5291,335,443,3313
112,【10月31日直播】143 期周报 胡泊老师代班，有四篇非常好的视觉运营+AIGC大厂落地流程以及结果反馈,1073,6,4,0,14
113,我可能真的要毕业即失业了，秋招我真的找不到工作.......|软考,2253,9,0,1,19
114,面试反问环节，大厂面试官推荐的6个满分答案,40308,3814,477,280,2656
115,经管类专业毕业能去哪？,14944,679,29,80,605
116,消防工程师工作难找？小众化行业，社会需要的是责任不是躺赚,552,3,4,0,12
117,早这么聊不就完了！——面试官要听的原来是这些,72401,7014,2647,636,5036
118,40岁电商老板当久了 太无聊出去面试运营岗。分享电商0-1打爆款,23156,615,48,69,878
119,揭秘金三银四内幕！大中小公司招聘真相！,9329,62,14,12,115
120,游戏文案策划入行经验分享，心态、简历、作品集,1212,46,25,0,68
121,2023年最有发展前景的8个行业,8933,131,4,17,144
122,红圈律师Vlog 34 | 和资深律师们的深入访谈（上）律师的第一份工作重要吗,26881,1248,117,69,842
123,双非二本英专生分享，从河南跨境电商，到深圳外贸业务员的求职经历。,4223,194,23,6,130
124,收到offer时，千万要核对以下信息,1064,52,0,4,44
125,工厂工资已经给到6000了，还是招不到人怎么办？,43628,102,21,20,881
