,title,author,description,play,favorites,mid,review,created_at,video_review,coins,duration,aid,bvid,pts,trend,vt,enable_vt,vt_display
0,结构化面试基础课——小马哥（适用公务员、选调生、事业单位、三支一扶、人民银行和烟草等的结构化面试）,刘文超Vin,本视频由刘文超Vin购买全部版权上传，适用与各年份各省份，国考、省考、事业单位、三支一扶、人民银行、烟草和高校招聘等公职类面试中的结构化面试。本课程仅是基础理论课，想要学习好面试，还需要自己多开口练习。,6175258,239402,300722822,11066,2021-08-08 22:32,259148,106565,63714,632232234,BV1Tb4y167ZV,108808,0,0,0,
1,结构化面试基础课——小马哥,公考小马哥,"https://www.bilibili.com/video/BV1Tb4y167ZV
本视频适用于各年份国考、省考、事业单位、三支一扶、人民银行、烟草和高校招聘等公职类面试中的结构化面试。本课程仅是基础理论课，想要学习好面试，还需要自己多开口练习。",3789594,118813,501827634,6882,2021-08-11 15:43,148063,32164,63714,632338590,BV1yb4y1U7AJ,71925,0,0,0,
2,vlookup函数使用方法详解,excel软件教学,-,690026,23875,619963920,426,2022-02-14 16:21,200,7547,288,809011041,BV1M34y1C7HZ,37645,0,0,0,
3,程序员大佬去面试，根本不需要简历,爱代码的喵酱,,1357613,1211,589102210,296,2023-01-03 19:10,35,156,19,264736666,BV1rY411m7YD,28168,0,0,0,
4,进厂分宿舍,是王成呀,-,1192238,893,300611355,805,2021-11-20 11:37,19,34,8,336820082,BV1AR4y1b7F2,26739,0,0,0,
5,千练成面—面试示范答题集——小马哥（刘文超教育）,刘文超Vin,本视频刘文超购买全部版权上传分享！,1617617,87882,300722822,1512,2021-01-05 00:01,23593,25884,21184,586011345,BV1Zz4y1z7Bs,19641,0,0,0,
6,结构化面试基础课——尹一（适用公务员、选调生、事业单位、三支一扶、人民银行和烟草等的结构化面试）,刘文超Vin,"尹一：刘文超教育主讲老师，5年资深公考面试讲师，多次担任千人面试大课主讲
国考、选调等多次面试实战经历，青岛海关面试第一
授课形式轻松幽默，针对面试小白“保姆式”教学，逐字逐句讲解，解决开口难问题
充分结合各部门、各省市考情特色，安排授课内容，让面试备考事半功倍
课堂素材积累丰富，发散性强，善于为学生拓展当前重要政策及方针，让答题更具深度，避免千篇一律",584885,27346,300722822,609,2023-01-21 11:14,5306,6410,22377,820674576,BV1dG4y1F7aV,13079,0,0,0,
7,2023广东政府工作报告（适用于广东公考、事考的笔试常识和申论面试积累）,李铁106,2023广东政府工作报告，公考常识、公基、申论、面试都用得到,308720,21423,392295704,261,2023-01-26 15:50,4350,3964,4277,265792431,BV1TY41197ch,11326,0,0,0,
8,手把手教你vlookup两个表格间对应数据的匹配！,Excel卓哥说,每天1分钟，学会Excel很轻松噢!,462417,9355,636426354,201,2021-01-20 16:30,25,1964,59,416139909,BV1sV411t74E,10681,0,0,0,
9,公务员面试这么进场考官立马打低分！,山东中公教育,,666436,1126,278317627,436,2021-09-25 17:23,201,57,48,463194456,BV17L41147Po,9862,0,0,0,
