,title,author,description,play,favorites,mid,review,created_at,video_review,coins,duration,aid,bvid,pts,trend,vt,enable_vt,vt_display
0,Axure教程视频，0基础入门，2小时学会,Song老师产品经理课堂,">本教程定期更新，最新动态请【关注，点赞】
>23年8月更新：视频重新录制，统一Axure9，案例更实用",1175228,69628,433938512,1469,2019-07-10 23:28,2377,22786,18749,58666880,BV1Yx411f7d6,12405,0,0,0,
1,Axure 9 从入门到精通全集，自学必备,黑马产品经理,"本套Axure教程视频从0基础入门开始讲解，包含元件库、动态面板、设计交互等全套内容，深入浅出，让你一学就懂。想学习Axure9的同学，希望不要错过。
Axure作为一款专业的原型设计工具，它可以快速创建出线框图、流程图、原型和规格说明文档，是包括产品经理、UI设计师、用户体验设计师、交互设计师等在内的IT从业人员必备技能。",334563,17071,1827450921,1411,2022-01-23 16:48,3632,3475,50802,210910857,BV1ba411m7NY,4562,0,0,0,
2,Axure 9从入门到精通_Axure RP9零基础入门【产品经理基础】,让你三行代码,"pm.itcast.cn
课程的内容包括Axure软件基础功能、默认元件及应用、常用交互设计、变量和函数等四个部分。通过整套课程的学习，用户可以对于Axure9这个软件几乎所有的功能细节都有所了解，并尝试掌握和运用。",341154,14323,257616434,270,2021-02-04 15:09,3964,1187,50885,416613282,BV1WV411i7SH,4463,0,0,0,
3,老板都不知道的事！我怎么知道？！,产品老曾,,393399,13786,1150472191,284,2023-01-16 17:15,197,4405,341,265452691,BV1XY41197hS,4065,0,0,0,
4,下属当众顶撞我，好的管理者该作何反应？,产品老曾,,566255,5380,1150472191,761,2023-01-09 17:30,308,1366,159,480103566,BV1JM411F7p2,3517,0,0,0,
5,产品经理P6全套实战课程【85集，3200分钟】，系统化讲解产品经理实战课程，纯干货内部版B站开源！,玄子老师,"产品经理P6全套实战课程是由行业内工作十七年一线产品导师玄子老师讲解，全套体系包括：产品工具输出，建立产品思维（上层设计），产品规划版本迭代能力（核心路径），项目实战（落地能力），面试能力提升。几乎是目前专业学习产品经理课程的最高水准，由玄子老师全程讲解，学完可以无缝对接企业，匹配企业产品经理岗位要求，为企业解决问题，实现价值，从而改变一种生活方式。
玄子老师，七年培训行业，前华为西安分公司移动事业部负责人，三家知名企业产品顾问，玄子老师产品经理培训机构创始人。培养成功入职产品经理超过3000+。",441737,4235,1493260948,453,2023-02-01 23:31,719,360,45632,266160845,BV1tY411S7Ab,3258,0,0,0,
6,产品经理必刷的200道面试题[150集全]，系统讲解产品经理面试十大方面，纯干货内部版B站开源了！,东岳老师,产品经理面试题，产品经理必刷的200道面试题，是由行业内工作十五年一线产品导师东岳老师讲解，产品经理面试题涵盖十大方面，总结了产品经理面试方方面面，是极为高效面试题，产品经理面试题分成十大部分，思维题，场景题，开放题，HR问题，能力问题，技术问题，业务问题，产品问题，工作问题等。是目前产品经理面试题中具备专业水平极高的面试题。由东岳老师全程讲解。产品经理面试必刷题，面试成功率极高。谢谢关注！,149269,14407,674782968,5527,2022-11-22 23:12,2062,5684,22473,902961633,BV1BP4y1R7f9,3141,0,0,0,
7,秒懂 Axure 9 零基础入门 | 全套 | 学完找个工作不是问题 | 傻老师的秘密基地,傻老师的秘密基地,"获取课程素材方式：
pan.baidu.com/s/1jg9CKi8b8E7dgqfpj5Faaw
提取码: q3ge",102828,4731,26684299,327,2021-05-27 21:20,701,1996,29075,673288984,BV1hU4y1L77u,2414,0,0,0,
8,2021年最新 | 产品经理基础入门（172集全集已更新完毕）（2022版看简介）,黑马程序员深圳中心,"产品经理基础课程2022版已经更新啦！
传送门：BV14i4y1U7LX

本课程知识点如下：
需求收集
需求管理
需求分析
结构图
流程图
原型
PRD文档
用户画像
后台角色管理",887699,45381,415938397,1752,2021-03-02 10:08,18759,6352,113912,586903183,BV13z4y1m7UQ,2235,0,0,0,
9,商务英语：500强外企熬过前90天 First 90 Days (上),唐Donald,"1月13日线上商务英语角 Part 1.
世界前五的技术公司 Amazon, Apple, Google, Microsoft, and Facebook.
UP主在其中三家做过产品经理。
教你外企工作的技巧。",137185,8029,486850985,86,2021-01-14 21:04,103,627,1471,586185454,BV19z4y1U7yL,1758,0,0,0,
