,title,author,description,play,favorites,mid,review,created_at,video_review,coins,duration,aid,bvid,pts,trend,vt,enable_vt,vt_display
0,千万别动那个bug，该项目就是靠那个bug运行的,爱代码的喵酱,,1511077,3170,589102210,385,2022-10-23 15:53,70,390,24,774345977,BV1Q14y1j7gd,38089,0,0,0,
1,程序员大佬去面试，根本不需要简历,爱代码的喵酱,,1357613,1211,589102210,296,2023-01-03 19:10,35,156,19,264736666,BV1rY411m7YD,28168,0,0,0,
2,公司新来00后写的代码，看到这段话我差点笑出猪叫,爱代码的喵酱,,3864584,3439,589102210,789,2022-06-24 22:49,255,3129,16,597830043,BV12B4y1q7TK,27516,0,0,0,
3,当一位大佬程序员写了一段很烂的代码但是刚好能用时......,爱代码的喵酱,,4437866,19001,589102210,709,2022-05-01 18:35,257,761,11,641207993,BV12Y4y1t7Qv,24356,0,0,0,
4,公司一个程序员大佬请假了，他的电脑还开着，据说代码运行了两天两夜了，你们说我要是给他断电会咋样？,爱代码的喵酱,,2105558,1163,589102210,712,2022-11-22 19:15,94,154,9,220494067,BV1j8411L7xp,20218,0,0,0,
5,3句话，让你从社交恐惧→社交牛逼 | 奸商套路分享,统一的奸商之路,,5277617,385094,8420618,11322,2021-09-19 20:52,61921,354152,2061,208077851,BV1mh411p79S,19755,0,0,0,
6,清华大佬讲沟通逻辑，逢人说话不发愁,清晖小野学管理,免费获取最新项目管理类学习、备考资料关注公主号：清晖%项目管理%社区(没有%哦）或加V：qhclass2019（备注052）,455934,55145,3461577399339630,97,2022-11-23 18:00,162,5076,5154,432815632,BV1P3411f73B,13908,0,0,0,
7,程序员为什么不喜欢用IE，这样解释你懂了吗,前端程序扬,,1954644,1454,282236114,488,2020-12-29 17:10,74,105,15,928372121,BV1wT4y1T7rw,11695,0,0,0,
8,程序员大佬用代码写的辞职信，我看到后绷不住了哈哈哈,爱代码的喵酱,,1320668,1204,589102210,355,2022-06-22 15:29,86,200,20,300126044,BV1YF411c79W,11050,0,0,0,
9,当00后程序员遇到加班内卷，当场给领导上了一课,挨剃精英,,1724203,1210,382802895,1216,2022-05-04 20:04,98,132,21,853750888,BV1SL4y1c7wT,7175,0,0,0,
