,pubdate,tag,duration,id,rank_score,badgepay,senddate,author,review,mid,is_union_video,rank_index,type,arcrank,play,rank_offset,description,video_review,is_pay,favorites,arcurl,bvid,title,vt,enable_vt,vt_display
19,2023-12-11 19:02:20,"领导力,认知,管理,沟通,信用,用人之道,思维格局,职场智慧,培养下属,产品老曾",266,282073937,75188,False,1702292540,产品老曾,227,1150472191,0,20,video,0,75187,80,,150,0,377,http://www.bilibili.com/video/av282073937,BV1hc41117BF,我想提拔下属，他却以为是“画饼”,0,0,
20,2023-12-10 00:26:45,"女孩,结婚,社会,广东,打工,年轻人,尘白禁区翠星假日,尘白禁区核心团招募",226,282008585,73957,False,1702139205,公考小肥仔,202,3493115147061535,0,22,video,0,73957,81,-,47,0,174,http://www.bilibili.com/video/av282008585,BV1Tc411q7NP,为什么去广东打工都要未结婚的女孩呢？,0,0,
21,2023-12-09 21:30:37,"土木工程,施工,甲方,建筑工程,监理,工程人,钢筋工,今天也要好好工作,百日招聘，就业集结令！",16,922039428,73197,False,1702181949,土木阿三,32,3546573843729226,0,23,video,0,73197,82,-,1,0,32,http://www.bilibili.com/video/av922039428,BV1Vu4y1u7ri,求监理心里阴影面积,0,0,
22,2023-12-08 18:00:00,"职场,商业,职业发展,职业规划,xmind,积累,商业发展,商业规划,百日招聘，就业集结令！",915,451951208,72366,False,1702029645,赏味不足,410,44497027,0,24,video,0,72366,83,"简单来讲呢
企业股权，政府架构，商业运作，高校项目，社会的上下游合作等等，这些东西和你工作多少年，和你什么学校毕业，和你有多少财富积累都毫无关系 。你该不知道还是不知道。
职场和自己去赚钱，这就是两条独立的经验值和技能树。
千万不要去幻想着，什么做一段时间还能转职，还能延续之前的经验，不存在的

xmind：链接: https://pan.baidu.com/s/1ZUEpm7jQ2OCHHvklzWDOsQ?pwd=45t7 提取码: 45t7

btw，有任何职业规划，副业，职场，未来发展等方向的细节",98,0,4167,http://www.bilibili.com/video/av451951208,BV1rj411W7s3,职场上的积累对商业几乎是毫无帮助的,0,0,
23,2023-12-13 10:17:47,"科学,科普,回到",11,452154428,71189,False,1702456836,神秘人灬丶灬,25,3546587250821388,0,25,video,0,71189,84,-,8,0,26,http://www.bilibili.com/video/av452154428,BV1ej411s7kf,铁珠子滑下去，还能回到圆盘吗？,0,0,
24,2023-12-11 20:30:00,"领导力,企业管理,员工管理,五why法",91,922051068,69122,False,1702373132,黄景谈领导力,799,3537117638560037,0,26,video,0,69122,85,,370,0,861,http://www.bilibili.com/video/av922051068,BV1Tu4y1u7Zi,看到问题的本质，才能真正解决问题,0,0,
25,2023-12-12 10:24:04,"00后,VLOG,大人玩具",13,367170839,67955,False,1702616329,李十一工作室,0,1475818632,0,27,video,-100,67955,86,-,2,0,341,http://www.bilibili.com/video/av367170839,BV1794y1N7fp,00后女大学生自己卖大人玩具,0,0,
26,2023-12-10 19:09:29,"机械,90后,职场,找工作,农村,求职,理工男,考研,职业规划,人物故事",291,877072077,65377,False,1702206569,那些无名之辈,424,295347600,0,28,video,0,65377,87,-,375,0,497,http://www.bilibili.com/video/av877072077,BV15N4y1Y7c9,没家境、没学历、没机遇，一个重庆农村90后，如此生活30年!,0,0,
27,2023-12-09 09:49:05,"操作,县委书记,惊艳,虚假,人民的名义,一幕,上任,坎公玩家团激励计划,坎公双生魔王篇",250,236927948,65106,False,1702086545,公考小肥仔,99,3493115147061535,0,29,video,0,65106,88,-,69,0,112,http://www.bilibili.com/video/av236927948,BV12e411o7PX,县委书记上任，被一幕幕的虚假操作惊艳了,0,0,
28,2023-12-12 17:55:00,"电视剧,职场,暗语,人情世故,为人处世,扫黑风暴",424,964371846,64045,False,1702374902,单位晋升,71,1029508158,0,30,video,0,64045,89,后台回复“资料”，免费领取为人处世PDF,14,0,671,http://www.bilibili.com/video/av964371846,BV1xH4y1y7bx,看懂这场会议，让你至少长10个心眼,0,0,
