,title,author,description,play,favorites,mid,review,created_at,video_review,coins,duration,aid,bvid,pts,trend,vt,enable_vt,vt_display
0,千万别动那个bug，该项目就是靠那个bug运行的,爱代码的喵酱,,1511077,3170,589102210,385,2022-10-23 15:53,70,390,24,774345977,BV1Q14y1j7gd,38089,0,0,0,
1,程序员大佬去面试，根本不需要简历,爱代码的喵酱,,1357613,1211,589102210,296,2023-01-03 19:10,35,156,19,264736666,BV1rY411m7YD,28168,0,0,0,
2,写bug的程序员被辞退，产品经理：换个人裁！,PM圈子-崔经理,,754262,486,496076562,538,2022-11-08 09:34,76,198,40,944926677,BV1xW4y14731,23394,0,0,0,
3,公司一个程序员大佬请假了，他的电脑还开着，据说代码运行了两天两夜了，你们说我要是给他断电会咋样？,爱代码的喵酱,,2105558,1163,589102210,712,2022-11-22 19:15,94,154,9,220494067,BV1j8411L7xp,20218,0,0,0,
4,00后程序员因不加班被老板训话，用最怂的语气讲最牛逼的话！,程序员饭团,,864227,862,668514136,517,2022-09-18 16:42,47,98,25,688204566,BV1224y1d7HW,13384,0,0,0,
5,程序员为什么不喜欢用IE，这样解释你懂了吗,前端程序扬,,1954644,1454,282236114,488,2020-12-29 17:10,74,105,15,928372121,BV1wT4y1T7rw,11695,0,0,0,
6,【2024软考】《网络工程师》新版精讲视频-希赛网（零基础系统教程，建议收藏）！,希赛软考,"【收藏】：软考《网络工程师》新版精讲视频，由希赛网发布【先收藏再观看】。
【资料】：免费获取新版软考学习计划、模拟题、真题、核心知识点集锦等资料（评论回复获取）。
【答疑】：大家学习过程中有任何问题，会第一时间回复大家（评论里提问）。
点击右上角关注，获取更多备考信息
~软考刷题，就用希赛软考助手APP~",982278,36416,1648436776,21931,2021-02-20 15:30,3554,13002,52609,374373646,BV18Z4y1A7Yk,7363,0,0,0,
7,马士兵老师给程序员的IT职业方向选择指南：java/python/C#/golang/AI如何选择？大专/本科/应届生/985/211/考研失败/大龄迷茫怎么办,马士兵说,马士兵老师给程序员的IT职业方向选择指南：java/python/C#/golang/AI如何选择？大专/本科/应届生/985/211/考研失败/大龄迷茫怎么办,279321,17427,406692798,850,2023-01-08 10:21,2188,2543,14505,947405894,BV1jW4y1G7oo,7102,0,0,0,
8,8小时转职Golang工程师(如果你想低成本学习Go语言),刘丹冰Aceld,"8小时专职Golang工程师(如果你想低成本学习Go语言) 
在线文章：https://www.yuque.com/aceld/mo95lb/dsk886  
笔记及资料:链接: https://pan.baidu.com/s/1glckD7XGInHDFQQKCRE66g 提取码: gyj3",691830,26877,373073810,1048,2021-02-07 15:33,23217,11736,29900,289037737,BV1gf4y1r79E,6606,0,0,0,
9,成年人必备资源网站，个个都是宝藏，你值得收藏！！,奋斗的副业君,还好吗？,448463,2209,1311555582,1395,2022-07-25 11:52,171,143,108,428754405,BV1NG411H7oG,4825,0,0,0,
