,title,author,description,play,favorites,mid,review,created_at,video_review,coins,duration,aid,bvid,pts,trend,vt,enable_vt,vt_display
0,言语理解与表达系统课（全国通用）——阿里木江,威猛公考,本视频由up主购买全部版权上传，本视频适用所有言语理解与表达模块的学习。,11395736,389361,1289075511,5290,2021-08-27 12:29,290733,156061,72655,335199645,BV1oA411c7Eh,198818,0,0,0,
1,申论系统课（全国通用）——公考小马哥,刘文超Vin,,14965128,446069,300722822,9143,2021-09-27 21:00,484823,201860,131044,933231156,BV1YM4y137h3,161284,0,0,0,
2,结构化面试基础课——小马哥（适用公务员、选调生、事业单位、三支一扶、人民银行和烟草等的结构化面试）,刘文超Vin,本视频由刘文超Vin购买全部版权上传，适用与各年份各省份，国考、省考、事业单位、三支一扶、人民银行、烟草和高校招聘等公职类面试中的结构化面试。本课程仅是基础理论课，想要学习好面试，还需要自己多开口练习。,6175258,239402,300722822,11066,2021-08-08 22:32,259148,106565,63714,632232234,BV1Tb4y167ZV,108808,0,0,0,
3,申论刷题合集（各省份均有）——小马哥（刘文超教育团队）,刘文超Vin,本视频由up主购买全部版权。,5540094,169188,300722822,1784,2019-10-25 11:54,104053,52340,668570,73326045,BV1NE41117dp,91384,0,0,0,
4,2024公考《常识》系统课——李铁（每晚更新中）,李铁106,常识是很多公考小可爱很头疼的一个模块，其考试平均准确率只有百分之40左右，但低准确率也造就了常识是一个提升空间很大的模块，在公考竞争如此激烈的当下，没有哪一个模块是可以轻言放弃的，而且，常识也是有迹可循滴，小可爱们，赶紧上车吧，跟着铁哥学起来,3885582,155792,392295704,3296,2020-09-07 11:49,74045,35697,168067,499529775,BV1bK411K7AK,39739,0,0,0,
5,广东省考/上海科学推理（涵盖物理/化学/生物/地理）~有文科生版和理科生版,科小推车,公务员考试用《科学推理》，基础60讲总时约20小时，平均每个视频半个小时，涵盖物理、化学、生物、地理，考点才全覆盖~~~,701715,18362,1776636308,811,2021-10-24 21:00,19288,6055,114700,718868787,BV1LQ4y1S7Ah,39301,0,0,0,
6,判断推理《行测》系统理论课程（全国通用）【讲义私信up或评论区置顶】（全国通用，最新，最全）章晓铭    适用：2023国考、省考 2023公考  公考上岸村,公考章晓铭,"适用：2023国考、2023省考、2023公安联考、2023事业单位
讲义领取请见置顶评论",12828427,393791,488609381,5910,2019-12-30 16:34,415583,109775,109418,81284270,BV1eJ41187aJ,37329,0,0,0,
7,看了公务员真题我明白了，我这辈子都不可能考上了,咬住秒针_,"https://m.weibo.cn/7080482377/4411126073130870
萌新up第一次",819071,1920,11615565,886,2019-09-02 07:40,247,89,47,66353916,BV1g441117af,33031,0,0,0,
8,《公基》系统课（已更新到最新放心看，三支也适用）——李铁,李铁106,2022事业单位公共基础知识公基系统课（全国通用，免费学习，讲义置顶评论链接或加微信sxdsxdsx07获取）——李铁老师,8272558,229102,392295704,9570,2020-08-31 11:10,251403,60899,277632,841898191,BV1S54y1e77E,31247,0,0,0,
9,资料分析《行测》系统理论课【讲义私信up或评论区置顶】（全国通用，最新，最全）王永恒    适用：2023国考、省考 2023公考 事业单位 上岸村,公考章晓铭,"适用：2023国考、2023省考、2023公安联考、2023事业单位
讲义领取请见置顶评论",12694823,412058,488609381,5463,2019-12-30 17:25,456104,135956,133288,81289907,BV1BJ41187wM,31175,0,0,0,
