,title,lyrics,time_public
35,我不愿让你一个人 (live in the sky),我不愿让你一个人 live in the sky (Live) - 五月天 (Mayday) 词：阿信 曲：阿信/冠佑 你说呢 明知你不在 还是会问 空气 却不能代替你 出声 习惯 像永不愈合 的固执伤痕 一思念就撕裂灵魂 把相片 让你能保存 多洗一本 毛衣 也为你准备多 一层 但是 你孤单时刻 安慰的体温 怎么为你多留一份 我不愿让你一个人 一个人在人海浮沉 我不愿你独自走过 风雨的 时分 我不愿让你一个人 承受这世界的残忍 我不愿眼泪陪你到 永恒 也许未来 你会找到 懂你疼你 更好的人 下段旅程 你一定要 更幸福丰盛 我不愿让你一个人 一个人在人海浮沉 我不愿你独自走过 风雨的 时分 我不愿让你一个人 承受这世界的残忍 我不愿眼泪陪你到 永恒 你说呢 明知你不在 还是会问 只因 习惯你满足的 眼神 只是 我最后一个 奢求的可能 只求你有快乐人生 只求命运 带你去一段 全新的旅程 往幸福的天涯飞奔 别回头就往前飞奔 请忘了我还 一个人,2020-07-07
36,终于结束的起点,终于结束的起点 - 五月天 (Mayday) 词：阿信 曲：阿信 编曲：五月天/周恒毅 还记不记得 我和你 最初的相信 还记不记得 孩子般 简单的爱情 我们仿佛天生在一起 用不完的默契和话题 戴上了耳机 沉入曾经的回忆 幸福的回忆 是追求幸福的天敌 寂寞的问候 是加深寂寞的陷阱 当时无限珍藏的回忆 变成无处躲藏的雨季 让最小事情 都变成最痛叹息 每一段伤痛的爱情 都困住两颗想挣脱伤痛的心 如果说可惜 就在下一章更珍惜 也许一个勇敢的决定 能换两个重生的约定 我们到了站 这一站叫终于 终于结束的起点 终于写下句点 终于我们告别 终于我们又回到原点 流干了眼泪 日日夜夜 未来的我们 也许能说声好久不见 爱情并不是对与错 简单是非题 相爱的两人 不一定能相守相依 因为相爱所以在一起 因为深爱所以又分离 约在下一站 车票是你我勇气 每一段遗憾的曾经 当时名字都叫憧憬 我们的心 不能忘怀的 至少释怀吧 在风里 那些无法看破的叹息 某天会是看淡的风景 虽然那风景 永远有谁缺席 终于结束的起点 终于写下句点 终于我们告别 终于我们又回到原点 流干了眼泪 日日夜夜 未来的我们 也许能说声好久不见 好久不见 终于结束的起点 终于写下句点 终于我们告别 终于我们又回到原点 流干了眼泪 日日夜夜 未来的我们 也许能说声好久不见 站在这起点 其实没有走远 其实不愿告别 其实我心中 依然想念 拥抱着遗憾 岁岁年年 却要在今天 头也不回的告别昨天 奔向明天 奔向明天 不回头 不眷恋的明天,2016-07-21
37,任意门,任意门 - 五月天 (Mayday) 词：阿信 曲：怪兽 编曲：五月天/陶山 行天宫后 二楼前座那个小房间 日夜排练 我们听着唱片 唱片来自 那唱片行叫摇滚万岁 和驻唱小店都在士林边缘 我们都想 离开这边追寻另一边 苗栗孩子 搬到台北求学 水手之子 重考挤进信义路校园 和高雄学弟 当时看不顺眼 我们曾走过 无数地方和无尽岁月 搭着肩环游 无法遗忘的光辉世界 那年我们都冲出南阳街 任意门通向了音乐 任意门外我们都任意的飞 是自由的滋味 七号公园 初次登场是那个三月 自强隧道 漫长的像永远 椰林大道 谁放弃了律师的家业 头也不回地越来越唱越远 外滩风光 跃出课本是那么新鲜 从回民街再飞到尖沙咀 男儿立志 成名在望不论多遥远 一离开台北 却又想念台北 我们曾走过 无数地方和无尽岁月 搭着肩环游 无法遗忘的光辉世界 无名高地到鸟巢的十年 一路铺满汗水泪水 任意门外我们用尽全力飞 管他有多遥远 我们曾走过 无数地方和无尽岁月 搭着肩环游 无法遗忘的光辉世界 那个唱片行 何时已不见 是谁说过摇滚万岁 任意门里我们偶尔也疲倦 平凡的我们 也将回到平凡的世界 生活中充满孩子哭声 柴米和油盐 曾和你走过麦迪逊花园 任意门外绕一大圈 你问我全世界是哪里最美 答案是你身边 只要是你身边 行天宫后 二楼前座 那个小房间 兽妈准备宵夜是大鸡腿 每个梦都像任意门 往不同世界 而你的故事 现在正是起点,2016-07-21
38,转眼,转眼 - 五月天 (Mayday) 词：阿信 曲：石头 转眼走到了 自传最终章 已浏览所有 命运的风光 混浊的瞳孔 风干的皮囊 也曾那般 花漾 最爱的相片 让你挑一张 千万个片刻 谁在你身旁 那一年的我 曾和你一样 飞扬 惶惶不安 念念不忘 还是得放开双掌 掌心曾握着 谁的体温 渐凉 有没有人 在某个地方 等我重回 当初的模样 双颊曾光滑 夜色曾沁凉 世界曾疯狂 爱情曾绽放 有没有人 依偎我身旁 听我倾诉 余生的漫长 在你的眼中 我似乎健忘 因为我脑海 已有最难忘 最难遗忘 在我的时代 还有唱片行 如同博物馆 装满了希望 披头与枪花 爱情和忧伤 永远骄傲 高唱 成就如沙堡 生命如海浪 浪花会掏尽 所有的幻象 存款与楼房 挣扎与渴望 散场 回忆如窗 冷泪盈眶 风景模糊如天堂 孤单的大床 谁贴近我 脸庞 有没有人 也笑忆过往 跌跌撞撞 当时的蠢样 最平凡日子 最卑微梦想 何时才发现 最值得珍藏 有没有人 告诉我真相 时间就是 最巨大的谎 以为的日常 原来是无常 生命的具象 原来 只是 幻象 这是我自传 最终章 写这首长诗 用一生时光 躯壳会解脱 药罐和空房 我从婴儿床 再走回光芒 有没有人 知道某种秘方 不必永生 只要回忆不忘 我不怕死亡 只害怕遗忘 回忆是你我 生存的地方 有没有人 知道那个地方 我能回到 我的最爱身旁 儿孙们都忙 就让他们忙 离开的时候 就当我飞翔 自由飞翔,2016-07-21
39,知足 (07 最知足版),知足 (07 最知足版) - 五月天 (Mayday) 词：阿信 曲：阿信 编曲：周恒毅/五月天 怎么去拥有一道彩虹 怎么去拥抱一夏天的风 天上的星星笑地上的人 总是不能懂不能觉得足够 如果我爱上你的笑容 要怎么收藏要怎么拥有 如果你快乐不是为我 会不会放手其实才是拥有 当一阵风吹来风筝飞上天空 为了你而祈祷而祝福而感动 终于你身影消失在人海尽头 才发现笑着哭最痛 那年你和我那个山丘 那样的唱着那一年的歌 那样的回忆那么足够 足够我天天都品尝着寂寞 当一阵风吹来风筝飞上天空 为了你而祈祷而祝福而感动 终于你身影消失在人海尽头 才发现笑着哭最痛 当一阵风吹来风筝飞上天空 为了你而祈祷而祝福而感动 终于你身影消失在人海尽头 才发现笑着哭最痛 wo 如果我爱上你的笑容 要怎么收藏要怎么拥有 如果你快乐再不是为我 会不会放手其实才是拥有 知足的快乐叫我忍受心痛 知足的快乐叫我忍受心痛,2007-07-20
40,我又初恋了,我又初恋了 - 五月天 (Mayday) 词：阿信 曲：怪兽 编曲：五月天 每一次从爱里离开 就像是心被切一块 切一块 下次再也不敢放胆爱 谁知道主歌才一半 桥段都还没唱出来 就突然 你的出现爆破了悲哀 难道我又我又初恋了 不可能我又我又初恋了 可是真的真的初恋了 这一种feel 我又真的真的初恋了 我爱你你爱我 我们再也找不到借口 就像是第一次 一起飞着爱情的自由 我爱你你爱我 我们再也不需要借口 又一次初恋了 就算降讲有一点荒谬 谁在乎喔 我吃了铁牛运功散 因为我内伤好犀利 好犀利 你的魔力真的好犀利 难道我又我又初恋了 不可能我又我又初恋了 可是真的真的初恋了 这一种feel 我又真的真的初恋了 我爱你你爱我 我们再也找不到借口 就像是第一次 一起飞着爱情的自由 我爱你你爱我 我们再也不需要借口 又一次初恋了 就算降讲有一点荒谬 谁在乎喔 难道我又我又初恋了 不可能我又我又初恋了 可是真的真的初恋了 这一种feel 我又真的真的初恋了 我爱你你爱我 我们再也找不到借口 就像是第一次 一起飞着爱情的自由 我爱你你爱我 我们再也不需要借口 又一次初恋了 就算降讲有一点荒谬 谁在乎喔 谁在乎喔 谁在乎喔 谁在乎喔,2006-12-29
41,突然好想你 (live in the sky),突然好想你 live in the sky (Live) - 五月天 (Mayday)/李荣浩 (Ronghao Li)/萧敬腾 (Jam Hsiao)/毛不易 词：阿信 曲：阿信 最怕空气突然安静 最怕朋友突然的关心 最怕回忆 突然翻滚绞痛着不平息 最怕突然 听到你的消息 想念如果会有声音 不愿那是悲伤的哭泣 事到如今 终于让自己属于我自己 只剩眼泪 还骗不过自己 突然好想你 你会在哪里 过得快乐或委屈 突然好想你 突然锋利的回忆 突然模糊的眼睛 我们像一首最美丽的歌曲 变成两部悲伤的电影 为什么你 带我走过最难忘的旅行 然后留下 最痛的纪念品 我们 那么甜那么美那么相信 那么疯那么热烈的曾经 为何我们 还是要奔向各自的幸福 和遗憾中老去 突然好想你 你会在哪里 过得快乐或委屈 突然好想你 突然锋利的回忆 突然模糊的眼睛 最怕空气突然安静 最怕朋友突然的关心 最怕回忆 突然翻滚绞痛着不平息 最怕突然 听到你的消息 最怕此生 已经决心自己过没有你 却又突然 听到你的消息,2020-07-07
42,诺亚方舟,诺亚方舟 - 五月天 (Mayday) 词：阿信 曲：玛莎 再见 草莓甜甜圈 街角咖啡店 落下雨点 再见 黑白老照片 回忆电影院 埋进地面 再见 我们初识的那个公园 那天是谁先吻了谁 被谁遗忘的秋千 再见 那么多名车名表名鞋 最后我们只能带走 名为回忆的花园 如果要告别 如果今夜就要和一切告别 如果你只能打一通电话 你会拨给谁 晚安 鹦鹉和孔雀 花豹和人类 望着海面 晚安 底片和唱片 沉浮在浪间 就像诗篇 晚安 自由女神漂到华尔街 我们在甲板上摸到 杜拜塔顶的塔尖 晚安 海豚跃出西藏的屋檐 原来幻想中的这天会比幻想更唯美 还是要告别 还是放弃海拔以下的世界 你会装进什么回忆纪念 在行李里面 终于要告别 终于没有更多的明天要追 你有什么遗憾依然残缺 还没有完美 当彗星燃烧天边 陨石像雨点 当辐射比阳光还要炽烈 让爱变得浓烈 当每段命运 更加壮烈 当永远变成一种遥远 当句点变成一种观点 让人类终于变成同类 勇敢的告别 勇敢地向过去和未来告别 告别每段血缘身分地位 聪明或愚昧 最后的告别 最后一个心愿是学会高飞 飞在不存在的高山草原 星空和蓝天 让 诺亚方舟 航向了 海平线 让 诺亚方舟 航向了 换日线 让 诺亚方舟 航向了 天际线 让 诺亚方舟 航向了 无限,2011-12-16
43,将军令,将军令 - 五月天 (Mayday) 词：阿信 曲：阿信 在等谁  一声下令以后 才想起  呼吸你的自由 从何时  习惯这种生活 Oh ～ 不相信  或是相信什么 其实你  早已被决定过 你忍受  但是不愿接受 Oh ～ 历史  落在  赢家  之手 至少  我们  拥有  传说 谁说  败者  无法  不朽 拳头  只能  让人  低头 念头  却能  让人  抬头 抬头  去看  去爱  去追 你心中的梦 此生到尽头 你是谁  曾怎么活 他们说    就让他们去说 生命如长风   吹过谁  的心头 你想被记住的那个名字将会是什么 大时代  你我都是蜉蝣 在昨天  你我还是顽童 而今天  双肩如此沉重 Oh ～ 一首歌  只是靡靡唱游 或者能  让谁看见宇宙 全看你  愿意听见什么 Oh ～ 星月  从来  只能  沉默 微光  无力  照遍  角落 只求  点亮  你的  瞳孔 战场  不会  放过  你我 直到  人们  觉醒  自我 何时  不盼  不求  不等 将军或英雄 此生到尽头 你是谁 曾怎么活 他们说    就让他们去说 生命如长风   吹过谁  的心头 你想被记住的那个名字 将会是什么 苍空盼飞鸿   苍生等英雄 我们颠沛千年依然还在等候 失去了土地   失去了天空 自问 不能失去什么 此刻到永久 你是谁  要怎么活 为什么   还在问为什么 生命如长风   风中谁  在问我 你想被记住的那个名字将会是什么 你相信什么你执着什么你就是什么,2014-11-12
44,挪威的森林 (Live),挪威的森林 (Live) - 五月天 (Mayday)/伍佰 (Wu Bai) 曲：吴俊霖 让我将你心儿摘下 试着将它慢慢溶化 看我在你心中是否 仍完美无瑕 是否依然为我丝丝牵挂 依然爱我无法自拔 心中是否有我 未曾到过的地方啊 那里湖面总是澄清 那里空气充满宁静 雪白明月照在大地 藏着你不愿提起的回忆 你说真心总是可以从头 真爱总是可以长久 为何你的眼神 还有孤独时的落寞 是否我只是你一种寄托 填满你感情的缺口 心中那片森林 何时能让我停留 那里湖面总是澄清 那里空气充满宁静 雪白明月照在大地 藏着你最深处的秘密 或许我 不该问 让你平静的心再起涟漪 只是爱你的心超出了界线 我想拥有你所有一切 应该是 我不该问 不该让你再将往事重提 只是心中枷锁 该如何才能解脱 让我将你心儿摘下 试着将它慢慢溶化 看我在你心中是否 仍完美无瑕 是否依然为我丝丝牵挂 依然爱我无法自拔 心中是否有我 未曾到过的地方啊 那里湖面总是澄清 那里空气充满宁静 雪白明月照在大地 藏着你最深处的秘密 或许我 不该问 让你平静的心再起涟漪 只是爱你的心超出了界线 我想拥有你所有一切 应该是 我不该问 不该让你再将往事重提 只是心中枷锁 该如何才能解脱 或许我 不该问 让你平静的心再起涟漪 只是爱你的心超出了界线 我想拥有你所有一切 应该是 我不该问 不该让你再将往事重提 只是心中枷锁 该如何才能解脱,
45,香水,香水 - 五月天 (Mayday) 词：阿信 曲：阿信/冠佑 十字军从 东方凯旋 献上最美的 诗篇 你的魔法 爱情的霸权 为你臣服 为你捍卫 为了彻底 描写你的美 壮烈牺牲 一万朵玫瑰 再用虔诚 细细的提炼 让爱情海 吻在你耳背 啦啦啦啦啦 你想要世界 啦啦啦啦啦 就给你世界 啦啦啦啦啦 让感性撒野 啦啦啦啦啦 让理智全灭 啦啦啦啦啦 你是 乱世最美的 香水 对你 深深崇拜 深深迷恋 深深的沉醉 深深爱上一种香香的狂颠 对你 深深崇拜 深深迷恋 深深的沉醉 深深爱上一种奉献的哲学 献上快乐 献上伤悲 献上自我 献上世界 塞纳河畔 闹市炊烟 混杂人间 小愚昧 你的出现 将气氛改写 空气转变 圣洁感觉 青苹果是 你野蛮的甜 牛奶与蜜 是你的语言 沉默尤其 是一种迷迭 当你无心 轻轻的拒绝 啦啦啦啦啦 你想要世界 啦啦啦啦啦 就给你世界 啦啦啦啦啦 让感性撒野 啦啦啦啦啦 让理智全灭 啦啦啦啦啦 你是 乱世最美的 香水 对你 深深崇拜 深深迷恋 深深的沉醉 深深爱上一种香香的狂颠 对你 深深崇拜 深深迷恋 深深的沉醉 深深爱上一种奉献的哲学 献上快乐 献上伤悲 献上自我 献上世界 马蹄踏平了国界 野心磨破了披肩 动员了麻瓜魔戒 寻找拼凑你的香味 樱桃和樱花缠绵 茉莉和没药拼贴 香颂和香榭调配 也许再加一点眼泪 就算你没有答应 就算你也不拒绝 就算我从不打算全身而逃 全身而退 就让我活到脱轨 就让我爱到脱线 就让我为爱而生 一千世纪无间轮回 为你献上快乐伤悲 为你献上我的世界 对你 深深崇拜 深深迷恋 深深的沉醉 深深爱上一种香香的狂颠 对你 深深崇拜 深深迷恋 深深的沉醉 深深爱上一种奉献的哲学 献上快乐 献上伤悲 献上自我 献上世界 对你 深深崇拜 深深迷恋 深深的沉醉 深深爱上一种香香的狂颠 对你 深深深崇拜 深深深迷恋 深深的沉醉 深深爱上一种奉献的哲学 献上快乐 献上伤悲 献上自我 献上世界,2006-12-29
46,时光机,时光机 - 五月天 (Mayday) 词：阿信 曲：阿信 那阳光 碎裂在熟悉场景 好安静 一个人 能背多少的往事 真不轻 谁的笑 谁的温暖的手心 我着迷 伤痕好像都变成了曾经 全剧终 看见满场空座椅 灯亮起 这故事 好像真实又像虚幻的情境 只是那 好不容易被说服 的自己 借口又顶不住懊恼的侵袭 好后悔 好伤心 想重来 行不行 再一次 我就不会走向这样的结局 好后悔 好伤心 谁把我 放回去 我愿意 付出所有来换一个时光机 对不起 独自回荡在空气 没人听 最后又是孤单 到天明 真的痛 总是来的很轻盈 没声音 从背后 慢慢缓缓抱着我 就像你 你和我 还有很多的地方 还没去 为何留我荒唐的坐在这里 好后悔 好伤心 想重来 行不行 再一次 我就不会走向这样的结局 好后悔 好伤心 谁把我 放回去 我愿意 付出所有来换一个时光机 对不起 独自回荡在空气 没人听 最后又是孤单 到天明 最后又是孤单 到天明,2003-11-11
47,第二人生,第二人生 - 五月天 (Mayday) 词：阿信 曲：怪兽 你听到闹钟声 你推开了抱枕 你醒在 无尽的 疲倦的人生 英雄没有出现 奇迹没有发生 你只有 苦涩的 即溶咖啡粉 你天天看新闻 在等什么发生 让人生 再重头 再起死回生 地心没有沸腾 陨石没有倾盆 只有你 和日子 长满了灰尘 期待一趟旅程 精采万分 你却还在等 等到荒废青春 用尽体温 才开始悔恨 期待一种永恒 却怕伤痕 怕碎骨粉身 最后还是一个人 没有神 你孤独的生存 你才刚出了门 你就开始在等 你等着 快回家 回你的围城 命运如果有门 名字就叫心门 并不是 能不能 而是肯不肯 生命不是过程 而是美丽旅程 风景有 亮和暗 也有爱和恨 第一站叫天真 第二站叫青春 下一站 的名字 等你去确认 期待一趟旅程 精采万分 你却还在等 等到荒废青春 用尽体温 才开始悔恨 期待一种永恒 即使伤痕 也奋不顾身 也许会有一个人 陪着你 向新人生启程 每个灵魂 每个人 每次 劫后余生 每个心跳 每滴泪 在等 绝处逢生 如果命运注定你的诞生 如果末日始终没有发生 不要等到来生 让此时此刻 能不虚此生 期待一趟旅程 精采万分 你不该再等 别到荒废青春 用尽体温 才开始悔恨 期待一种永恒 即使伤痕 也奋不顾身 生命还没有黄昏 下一站 你的第二人生 你的第二人生,2011-12-16
48,孙悟空,孙悟空 - 五月天 (Mayday) 词：阿信 曲：怪兽 兵荒马乱五百年 来没改变过 花果山下满天的烽火 人类累不累啊 还在你争我夺 西天取经回来后 有没有人有读过 师父每年 都会寄卡片来问候 五百张了算多不算多 看到卡片 我都想起那段奋斗 金箍棒那么神勇 现在只能掏掏耳朵 齐天大圣是我 谁能奈何了我 但是我却依然 不小心败给了寂寞 如果要让我活 让我有希望的活 我从不怕爱错 就怕没爱过 如果能有一天 再一次重返光荣 记得找我 我的好朋友 听说悟净已经 植发治好秃头 有了论及婚嫁的女友 八戒这个猪头 手机老是不通 好色本性多隽永 好像时间从来没走 西天取完了经 东边应该还有 伙伴们好不好 让我们再拯救地球 如果要让我活 让我有希望的活 我从不怕爱错 就怕没爱过 如果能有一天 再一次重返光荣 记得找我 我的好朋友 如果要让我活 请给我快乐苦痛 我从不怕爱错 就怕没爱过 如果能有一天 再一次重返光荣 记得找我 我的好朋友 如果要让我活 让我有希望的活 我从不怕爱错 就怕没爱过 如果能有一天 再一次重返光荣 记得找我我的好朋友 记得找我我的好朋友,2004-11-05
49,我心中尚未崩坏的地方,我心中尚未崩坏的地方 - 五月天 (Mayday) 词：阿信 曲：怪兽 编曲：五月天 制作人：五月天 醒在陌生的地方 镜头变成了刀枪 耳语也变成了真相 吉他告别了肩膀 诗人弃守了边疆 我们活在 巨大片厂 幸运的孩子 爬上了殿堂 成果代价都要品尝 单纯的孩子 是否变了样 跟着游戏规则学着成长 轰轰烈烈的排行 沸沸扬扬的颁奖 跟着节奏 我常迷惘 当人心变成市场 当市场变成战场 战场埋葬 多少理想 回想着理想 稀薄的希望 走着钢索 我的刚强 伟大和伪装 灰尘或辉煌 那是一线之隔 或是一线曙光 每个孤单天亮 我都一个人唱 默默的让这旋律 和我心交响 就算会有一天 没人与我合唱 至少在我的心中 还有个尚未 崩坏的地方 歌手追逐销售量 记者追逐点击量 没有谁比谁更善良 无论天后或天王 无论小兵或老将 曲终人散 都要苍凉 期待着彩虹 所以开了窗 窗外只有 灼热闪光 所谓的彩虹 不过就是光 只要心还透明 就能折射希望 每个孤单天亮 我都一个人唱 默默的让这旋律 和我心交响 就算会有一天 没人与我合唱 至少在我的心中 还有个尚未 崩坏的地方 其实我们都一模一样 无名却充满了莫名渴望 一生等一次 发光 宁愿重伤 也不愿悲伤 让伤痕变成了我的徽章 刺在我心脏 永远不忘 默默的让这旋律 和我心交响 至少在我的心中 自己为自己鼓掌 每个孤单天亮 我都一个人唱 默默的让这旋律 和我心交响 就算会有一天 没人与我合唱 至少在我的心中 还有个尚未 崩坏的地方 孩子一样 不肯腐烂的土壤 WU WU~ 再唱 再唱 再唱 再唱 再唱,2008-10-23
50,顽固,顽固 - 五月天 (Mayday) 词：阿信 曲：阿信 编曲：五月天/张峡浩 我身在 当时你 幻想的 未来里 这个狂热和冲动 早已冷却的如今 你顽固 的神情 消失在 镜子里 只留下 时光消逝的痕迹 每颗心 的相信 每个人 的际遇 每个故事的自己 反覆地问着自己 这些年 让步的 你是否 会叹息 有什么 是你永远不放弃 一次一次你 吞下了泪滴 一次一次 拼回破碎自己 一天一天你 是否还相信 活在你心深处 那顽固自己 你追逐 你呼吸 你嚣张 的任性 鼻青脸肿的哭过 若无其事的忘记 如果你 能预知 这条路 的陷阱 我想你 依然错得很过瘾 走过的 叫足迹 走不到 叫憧憬 学会收拾起叛逆 学会隐藏了表情 卸下了 这面具 我想说 谢谢你 谢谢你 一路陪我到这里 一次一次你 吞下了泪滴 一次一次 拼回破碎自己 一天一天你 是否还相信 活在你心深处 那顽固的自己 一次一次你 吞下了泪滴 一次一次 拼回破碎自己 一天一天你 是否还相信 活在你心深处 那顽固的 你当时相信 的那些事情 会在如今 变成美丽风景 每当我迟疑 从不曾忘记 活在我心深处 那顽固的自己,2016-07-21
51,听不到,听不到 - 五月天 (Mayday) 词：阿信 曲：阿信 夜 黑夜 寂寞的夜里 气 生气 对自己生气 软弱的电话 又打 给你 想 听你 那边的空气 有 什么 精彩的话题 你还是温柔 给我 婉转 的距离 我的声音在笑 泪在飙 电话那头的你可知道 世界若是 那么大 为何我要忘你无处逃 我的声音在笑 泪在飙 电话那头的你可知道 世界若是 那么小 为何我的真心 你听不到 会 很会 伪装我自己 你 不该 背我的秘密 沉重都给我 微笑 给你 奔 狂奔 空旷的感情 走 暴走 暴走的伤心 透明的叹息 最后 还是 我的秘密 我的声音在笑 泪在飙 电话那头的你可知道 世界若是 那么大 为何我要忘你 无处逃 我的声音在笑 泪在飙 电话那头的你可知道 世界若是 那么小 为何我的真心 你听不到 你听不到 你听不到 听不到听不到我的执着 扑通扑通一直在跳 直到你有一天能够明了 我做得到 我做得到我的声音在笑 泪在飙 电话那头的你可知道 世界若是 那么大 为何我要忘你 无处逃 我的声音在笑 泪在飙 电话那头的你可知道 世界若是 那么小 为何我的真心 你听不到 你听不到 你听不到 啦 你听不到 你听不到 你听不到,2005-08-26
52,人生海海,人生海海 - 五月天 (Mayday) 词：阿信 曲：阿信 有一天 我在想 我到底 算是个什么东西 还是我 会不会 根本就不算东西 天天都漫无目的 偏偏又想要证明 真理 别人从屁股放屁 我却每天每天的说要革命 就算是这个世界 把我抛弃 而至少快乐伤心我自己决定 所以我说 就让它去 我知道潮落之后一定有潮起 有什么了不起 常常我 豁出去 拼了命 走过却没有痕迹 可是我 从不怕 挖出我火热的心 手上有一个硬币 反面就决定放弃 嗝屁 但是啊在我心底 却完完全全不想放弃 就算是这个世界 把我抛弃 而至少快乐伤心我自己决定 所以我说 就让它去 我知道潮落之后一定有潮起 有什么了不起 常常我 闭上眼睛 听到了海的呼吸 是你 温柔的蓝色潮汐 告诉我没有关系 就算真的这个世界 把我抛弃 而至少快乐伤心我自己决定 所以我说 就让它去 我知道潮落之后一定有潮起 我不能忘记 无论是我的明天 要去哪里 而至少快乐伤心我自己决定 所以我说 就让他去 我知道潮落之后一定有潮起 有什么了不起 有什么了不起 啦 啦 啦 明天我在哪里 啦 啦 啦 啦 明天我在哪里 啦 啦 啦,2001-07-06
53,盛夏光年 (live in the sky),盛夏光年 live in the sky - 五月天 词：阿信 曲：阿信 放弃规则 放纵去爱 放肆自己 放空未来 我不转弯 我不转弯 我不转弯 我不转弯 我不转弯 我骄傲的破坏 我痛恨的平凡 才想起那些是我最爱 让盛夏去贪玩 把残酷的未来 狂放到光年外 而现在 放弃规则 放纵去爱 放肆自己 放空未来 我不转弯 我不转弯 我不转弯 我不转弯 我不转弯 我要 我疯 我要 我爱 就是 我要 我疯 我要 我爱 一万首的mp3 一万次疯狂的爱 灭不了一个渺小的孤单 我要 我疯 我要 我爱 就是 我要 我疯 我要 我爱 盛夏的一场狂欢 来到了光年之外 长大难道是人必经的溃烂 放弃规则 放纵去爱 放肆自己 放空未来 我不转弯 我不转弯 我不转弯 我不转弯 我不转弯 我不转弯,2020-07-07
54,后青春期的诗,后青春期的诗 - 五月天 (Mayday) 词：阿信 曲：阿信 编曲：五月天 制作人：五月天 当烟雾随晨光飘散 枕畔的湖已风干 期待已退化成等待 而我告别了突然 当泪痕勾勒着遗憾 回忆夸饰着伤感 逝水比喻时光荏苒 终于我们不再 为了生命狂欢 为爱情狂乱 然而青春彼岸 盛夏正要一天 一天一天的灿烂 （阿信口白： 然后呢，一起走吧） 谁说不能让我 此生唯一自传 如同诗一般 无论多远未来 读来依然一字一句 一篇都灿烂 让天空解释着蔚蓝 浮云定义着洁白 落花铺陈一片红色地毯 迎接我们到未来 精彩未完的未来,2008-10-23
55,洋葱 (2013新录制作品),洋葱 (2013新录制作品) - 五月天 (Mayday) 词：阿信 曲：阿信 编曲：五月天 如果你眼神能够为我 片刻地降临 如果你能听到 心碎的声音 沉默地守护着你 沉默的等奇迹 沉默地让自己 像是空气 大家都吃着聊着笑着 今晚多开心 最角落里的我 笑得多合群 盘底的洋葱像我 永远是调味品 偷偷地看着你 偷偷地隐藏着自己 如果你愿意一层 一层一层地剥开我的心 你会发现你会讶异 你是我最压抑 最深处的秘密 如果你愿意一层 一层一层地剥开我的心 你会鼻酸你会流泪 只要你能听到我 看到我的全心全意 听你说你和你的他们 暧昧的空气 我和我的绝望 装得很风趣 我就像一颗洋葱 永远是配角戏 多希望能与你 有一秒专属的剧情 如果你愿意一层 一层一层地剥开我的心 你会发现你会讶异 你是我最压抑 最深处的秘密 如果你愿意一层 一层一层地剥开我的心 你会鼻酸你会流泪 只要你能听到我 看到我的全心全意 如果你愿意一层 一层一层地剥开我的心 你会发现你会讶异 你是我最压抑 最深处的秘密 如果你愿意一层 一层一层地剥开我的心 你会鼻酸你会流泪 只要你能听到我 看到我的全心全意 你会鼻酸你会流泪 只要你能听到我 看到我的全心全意,2013-12-30
